S1,S2,S3,S4,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S24,S25,S26,S27,S28,S29,S30,S32,Group
0.0088473,0.0057771,0.0077416,0.0046943,0.00205,0.0070276,0.0090495,0.0045186,0.0046933,0.003045,0.0020879,0.0014746,0.0052015,0.0032851,0.0049724,0.0091419,0.0021126,0.0152648,0.0020274,0.0030686,0.001164,0.0028229,0.0133515,0.0019079,0.0146762,0.008997,0.0037774,0.0021258,CF
0.0075006,0.0049696,0.0063394,0.0038918,0.0018068,0.0061891,0.0077951,0.0038004,0.0039837,0.0026768,0.0017431,0.001344,0.0044797,0.0028391,0.0041375,0.0077119,0.0017457,0.0129001,0.0017103,0.0026834,0.0010319,0.0024475,0.0116734,0.0015462,0.0123092,0.0077054,0.0031917,0.0017531,CF
0.0099946,0.0064677,0.0084712,0.0057381,0.0022109,0.0076483,0.0101436,0.0046782,0.0053683,0.0032848,0.0021965,0.001619,0.0056168,0.0035566,0.0052312,0.0098181,0.0023214,0.0169308,0.0021533,0.0033497,0.0012684,0.0030886,0.0147497,0.0020598,0.0158749,0.0099616,0.0040084,0.0022459,CF
0.0074358,0.0048667,0.0063353,0.0038965,0.0017782,0.0059985,0.0075603,0.0038813,0.0039047,0.0026169,0.0018019,0.0013391,0.0044156,0.0027902,0.0041455,0.0076522,0.0017088,0.0124122,0.0017727,0.0027305,0.0010207,0.0024849,0.0112271,0.0015815,0.0120358,0.0075224,0.0031654,0.0017224,CF
0.008438,0.0055073,0.0071425,0.0044537,0.0018544,0.0059295,0.0079643,0.0038279,0.0041998,0.0027075,0.0018458,0.0013418,0.0045527,0.0028088,0.004283,0.0077299,0.0020122,0.0124257,0.0018067,0.0028445,0.0010123,0.0025661,0.0115432,0.0018187,0.01219,0.008062,0.0032456,0.0019595,CF
0.007319,0.0049293,0.0064287,0.0040199,0.0018019,0.006266,0.0077682,0.0038703,0.0039056,0.0026298,0.0017893,0.0013713,0.0045743,0.0028987,0.004404,0.0078891,0.0017442,0.0129573,0.0017783,0.002798,0.0010351,0.0024795,0.0116613,0.0015488,0.0126769,0.0077267,0.0032888,0.001693,CF
0.0088123,0.0054512,0.0076352,0.0044387,0.0020081,0.0068713,0.008939,0.0042112,0.0046366,0.0030705,0.0019836,0.0014329,0.0050473,0.00319,0.0047797,0.0088427,0.0021073,0.0148577,0.0019345,0.0030073,0.0010896,0.002737,0.0132455,0.0018973,0.0141763,0.0088284,0.003702,0.0021703,CF
0.008938,0.0055155,0.0073623,0.0043613,0.0018922,0.0071459,0.0089286,0.0039286,0.004854,0.0029085,0.0019053,0.0014915,0.0047261,0.003079,0.0046236,0.0085091,0.001957,0.0140735,0.0018604,0.0028098,0.0010402,0.0026368,0.0135951,0.0016007,0.0138519,0.0087575,0.0034916,0.0018636,CF
0.0084135,0.0054096,0.0070522,0.0041342,0.0018359,0.0061524,0.0082047,0.0038148,0.0041409,0.0028296,0.0018412,0.00131,0.0045386,0.002865,0.0043567,0.0078413,0.001954,0.0126857,0.0018228,0.0027444,0.0009454,0.0025193,0.0117714,0.0016988,0.0124479,0.0081447,0.0031789,0.0018546,CF
0.0085642,0.005514,0.007542,0.0048413,0.0020263,0.0072426,0.0088995,0.0043634,0.0046259,0.0031791,0.0020351,0.0015398,0.0052175,0.0033339,0.0049175,0.0091467,0.0020574,0.015349,0.0019818,0.0030707,0.0012374,0.0028094,0.0134078,0.0017879,0.0146241,0.0088719,0.0037969,0.0019728,CF
