S1,S2,S3,S4,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S24,S25,S26,S27,S28,S29,S30,S32,Clase
0.0094432,0.0059225,0.0079585,0.0045933,0.0019968,0.0072626,0.0093098,0.0042835,0.0047037,0.0030146,0.001969,0.0014521,0.0051233,0.0031537,0.0047611,0.0088226,0.0021657,0.0149809,0.0019562,0.0030442,0.000953,0.0027679,0.0132964,0.0018622,0.0142186,0.0092168,0.0035319,0.002006,ninf
0.0094395,0.0059272,0.0082297,0.0047502,0.0020923,0.0072845,0.0094991,0.0043871,0.0047897,0.0032302,0.0021005,0.0014833,0.0052671,0.0032554,0.0050229,0.0090826,0.0021594,0.0151527,0.0020642,0.0031793,0.0011565,0.002847,0.0137011,0.001924,0.014628,0.0093517,0.0036421,0.0020446,ninf
0.0093531,0.0058823,0.0079001,0.0044665,0.0019969,0.0069824,0.0091024,0.0042311,0.0045357,0.0030443,0.0019826,0.0015777,0.0050179,0.0031822,0.0048287,0.0087118,0.002091,0.0143528,0.0019743,0.003038,0.0010188,0.0027372,0.0135634,0.0018417,0.0139278,0.0090264,0.0035673,0.0020225,ninf
0.0095481,0.0061631,0.0078698,0.0050162,0.0020876,0.0070052,0.0093434,0.0043187,0.004631,0.0032123,0.0020692,0.001524,0.0052257,0.0032817,0.0049572,0.0088764,0.0022155,0.014528,0.0020431,0.0031233,0.0010246,0.002882,0.0131214,0.0019824,0.0142514,0.0091983,0.0036297,0.0021439,ninf
0.0090025,0.0057971,0.0077128,0.0045447,0.0020637,0.0067667,0.0088404,0.0042859,0.0044048,0.0031336,0.0020164,0.0014876,0.0050116,0.0032673,0.0048029,0.0087038,0.0021104,0.0139868,0.0019943,0.0030699,0.0010303,0.0027893,0.0127287,0.0018796,0.0139157,0.0088292,0.0036038,0.0020335,ninf
0.0092038,0.0058523,0.0077964,0.0043945,0.0020169,0.0068049,0.0087404,0.0040825,0.0045601,0.003028,0.0019982,0.0014798,0.0049172,0.0031098,0.0046578,0.0084563,0.0020945,0.0137344,0.0019536,0.003021,0.0010988,0.0027382,0.0125659,0.0018485,0.0135505,0.0088562,0.0034869,0.002035,ninf
0.0088123,0.0054512,0.0076352,0.0044387,0.0020081,0.0068713,0.008939,0.0042112,0.0046366,0.0030705,0.0019836,0.0014329,0.0050473,0.00319,0.0047797,0.0088427,0.0021073,0.0148577,0.0019345,0.0030073,0.0010896,0.002737,0.0132455,0.0018973,0.0141763,0.0088284,0.003702,0.0021703,ninf
0.008438,0.0055073,0.0071425,0.0044537,0.0018544,0.0059295,0.0079643,0.0038279,0.0041998,0.0027075,0.0018458,0.0013418,0.0045527,0.0028088,0.004283,0.0077299,0.0020122,0.0124257,0.0018067,0.0028445,0.0010123,0.0025661,0.0115432,0.0018187,0.01219,0.008062,0.0032456,0.0019595,ninf
0.008938,0.0055155,0.0073623,0.0043613,0.0018922,0.0071459,0.0089286,0.0039286,0.004854,0.0029085,0.0019053,0.0014915,0.0047261,0.003079,0.0046236,0.0085091,0.001957,0.0140735,0.0018604,0.0028098,0.0010402,0.0026368,0.0135951,0.0016007,0.0138519,0.0087575,0.0034916,0.0018636,ninf
0.0080554,0.0053714,0.0067581,0.0043826,0.0018503,0.0064219,0.0083048,0.0039813,0.004324,0.0028048,0.0018523,0.0013727,0.0047404,0.0029919,0.0044623,0.0083186,0.0019422,0.0138423,0.0018346,0.0028751,0.0010733,0.0026092,0.0123698,0.0016623,0.0131893,0.0082196,0.0033828,0.0018668,ninf
0.007319,0.0049293,0.0064287,0.0040199,0.0018019,0.006266,0.0077682,0.0038703,0.0039056,0.0026298,0.0017893,0.0013713,0.0045743,0.0028987,0.004404,0.0078891,0.0017442,0.0129573,0.0017783,0.002798,0.0010351,0.0024795,0.0116613,0.0015488,0.0126769,0.0077267,0.0032888,0.001693,ninf
0.0068731,0.0044902,0.0060017,0.0039818,0.0017136,0.0059964,0.0071472,0.0036925,0.0037015,0.0024084,0.0016433,0.0011886,0.0042356,0.0027446,0.0039696,0.0072825,0.0016195,0.0126397,0.0016476,0.0025538,0.0008909,0.0022668,0.0111198,0.0013722,0.0117443,0.0072507,0.0031247,0.001562,ninf
0.006653,0.004335,0.0056208,0.0034445,0.0015456,0.0054797,0.0067732,0.0033536,0.0034546,0.0021909,0.0015719,0.0011555,0.0038689,0.0026501,0.0036475,0.0067532,0.0014827,0.0113763,0.0015396,0.0023996,0.0008429,0.0021679,0.0104186,0.0012852,0.0107866,0.0068192,0.0028582,0.0014518,ninf
0.0069954,0.0045421,0.0061697,0.0040071,0.001687,0.0057596,0.0072351,0.0036918,0.0037511,0.002456,0.0016714,0.001247,0.004184,0.002706,0.0039175,0.0072123,0.0016792,0.0122111,0.0016404,0.0025547,0.0008955,0.0023274,0.0110801,0.0014657,0.0115137,0.00734,0.0031766,0.0016354,ninf
0.0070606,0.0047271,0.0062583,0.0040602,0.0017488,0.0059823,0.0073355,0.0039162,0.0036386,0.0025296,0.0017087,0.0012701,0.0042817,0.0028136,0.0041186,0.0075289,0.0015491,0.0124597,0.0017079,0.0026488,0.0009594,0.0023511,0.0113493,0.0014133,0.0119942,0.0073789,0.0031402,0.0016509,ninf
0.0066276,0.0043733,0.0056849,0.0037118,0.0016289,0.0056737,0.0068028,0.0036701,0.0035525,0.0023482,0.0016164,0.0012296,0.0040382,0.0026859,0.0038634,0.0069063,0.001496,0.0115654,0.0016323,0.0025125,0.0009709,0.0021925,0.0106813,0.0013353,0.0110052,0.0069279,0.0029648,0.0015407,ninf
0.0074955,0.0047064,0.0065038,0.004148,0.0017513,0.0065739,0.0077298,0.0038599,0.0040774,0.0026401,0.0017621,0.0013465,0.0044932,0.0029282,0.0042654,0.0079739,0.001636,0.0138855,0.0017495,0.0027541,0.001015,0.0024201,0.0124637,0.0014563,0.0127859,0.0079739,0.0033164,0.0016479,ninf
0.0060246,0.00394,0.0050329,0.0033635,0.0014989,0.0051507,0.0062038,0.0032896,0.0031843,0.0020631,0.0014678,0.0010584,0.0036993,0.0024642,0.0035504,0.0064181,0.0013705,0.010746,0.0014832,0.0023022,0.0008897,0.0020082,0.0098121,0.0012002,0.0101028,0.0062594,0.0027347,0.0013944,ninf
0.0064947,0.0043646,0.0055791,0.0034296,0.0015895,0.0057849,0.006823,0.0034956,0.0036076,0.0022452,0.0015909,0.0011968,0.0039876,0.0026566,0.0037283,0.0068552,0.0014662,0.0114476,0.0015773,0.0024236,0.0008548,0.0021373,0.0105981,0.0012984,0.0110655,0.0068878,0.0029364,0.0015053,ninf
0.0071239,0.0045588,0.0064087,0.0038828,0.0016706,0.006233,0.0074248,0.0036126,0.0040322,0.002422,0.0016549,0.0012747,0.0042142,0.0028007,0.004028,0.0074446,0.0015645,0.0131046,0.0016412,0.0025271,0.0009703,0.0022743,0.0118153,0.0013254,0.0120815,0.0075625,0.0030906,0.0015598,ninf
0.0062581,0.0042143,0.0055964,0.0036483,0.0015195,0.0056701,0.0066485,0.0035184,0.0034615,0.0022492,0.0015801,0.0011511,0.0039569,0.0025737,0.0037135,0.0070216,0.0014837,0.0120957,0.0015376,0.002448,0.0008509,0.0021255,0.0108221,0.0012873,0.0110767,0.0068713,0.0029073,0.0014879,ninf
0.0068453,0.0045373,0.0058258,0.0038347,0.0016806,0.006009,0.0072432,0.0038191,0.0037567,0.0023531,0.0016422,0.0012422,0.0042399,0.0027816,0.0040526,0.0074204,0.0016033,0.0125705,0.0016803,0.0026114,0.000868,0.0022958,0.0114553,0.0014126,0.0118702,0.0072622,0.0031706,0.0016006,ninf
0.0084995,0.0054228,0.0071045,0.004352,0.0017675,0.0054643,0.0077897,0.0035762,0.0041315,0.0024808,0.0017248,0.0012511,0.0040982,0.0027028,0.0038236,0.0070925,0.0019185,0.0111556,0.00172,0.0025696,0.0008693,0.002422,0.0110429,0.0016928,0.0112459,0.0077604,0.0029509,0.0017765,ninf
0.0081809,0.0053294,0.0070459,0.0043282,0.0017721,0.005447,0.0076337,0.0035197,0.0039461,0.0023933,0.0017326,0.001206,0.0041285,0.0026666,0.0038131,0.0070238,0.0018996,0.0113875,0.00173,0.0025858,0.0008516,0.0024259,0.0107964,0.0017846,0.0111808,0.0077196,0.0030403,0.001837,ninf
0.0083063,0.0052627,0.0070403,0.0043948,0.0017387,0.0058899,0.0078695,0.0036881,0.0041302,0.0024717,0.0017366,0.0012961,0.0042542,0.0027728,0.0039683,0.0074461,0.0018327,0.0124765,0.0016982,0.0026827,0.0009625,0.0024296,0.011605,0.0016038,0.0119236,0.007859,0.0030751,0.0017397,ninf
0.0082181,0.0053127,0.0068489,0.0043966,0.0017558,0.0056383,0.0077337,0.0036705,0.0040714,0.0024622,0.001728,0.0012243,0.0042238,0.002755,0.0038643,0.0073382,0.0018546,0.0121288,0.0017383,0.0026996,0.0009962,0.0024781,0.0113132,0.001686,0.011646,0.0078989,0.0030644,0.001844,ninf
