S1,S2,S3,S4,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S24,S25,S26,S27,S28,S29,S30,S32,Group
0.0078806,0.0052639,0.0068071,0.0044529,0.0018847,0.0075123,0.0082612,0.0041946,0.0041948,0.0027566,0.0019007,0.0014818,0.0046195,0.0030285,0.0047127,0.0082379,0.0017516,0.0137974,0.0018191,0.0029625,0.0011339,0.0024707,0.0130168,0.0014845,0.0138157,0.0082406,0.0032925,0.0017471,CF
0.0081436,0.0052761,0.0072547,0.0042673,0.0018654,0.0062887,0.0083103,0.0040309,0.0040678,0.0028948,0.0018558,0.0013105,0.0047497,0.0029697,0.0044442,0.0080638,0.0019563,0.0128456,0.0018337,0.0028977,0.0009367,0.0025862,0.011638,0.0018369,0.0129395,0.0080735,0.0032608,0.0018968,CF
0.0085244,0.0051785,0.0070338,0.0037458,0.0017356,0.0055793,0.0078433,0.0034678,0.0041327,0.0026156,0.0017515,0.001326,0.0042015,0.0026412,0.0039291,0.0071884,0.0018857,0.0110276,0.0017029,0.002609,0.0008943,0.0024133,0.010494,0.0017681,0.0113461,0.0077381,0.0029282,0.0018636,CF
0.0084135,0.0054096,0.0070522,0.0041342,0.0018359,0.0061524,0.0082047,0.0038148,0.0041409,0.0028296,0.0018412,0.00131,0.0045386,0.002865,0.0043567,0.0078413,0.001954,0.0126857,0.0018228,0.0027444,0.0009454,0.0025193,0.0117714,0.0016988,0.0124479,0.0081447,0.0031789,0.0018546,CF
0.008998,0.0056124,0.0076683,0.0045661,0.0019381,0.006583,0.0088783,0.0039883,0.0045098,0.0029622,0.0019415,0.0014775,0.0049467,0.0030629,0.0045182,0.0084307,0.0021332,0.0139611,0.0018994,0.002936,0.0011338,0.0027304,0.0128072,0.001911,0.0133582,0.0086561,0.0034289,0.002022,CF
0.0099946,0.0064677,0.0084712,0.0057381,0.0022109,0.0076483,0.0101436,0.0046782,0.0053683,0.0032848,0.0021965,0.001619,0.0056168,0.0035566,0.0052312,0.0098181,0.0023214,0.0169308,0.0021533,0.0033497,0.0012684,0.0030886,0.0147497,0.0020598,0.0158749,0.0099616,0.0040084,0.0022459,CF
0.0085642,0.005514,0.007542,0.0048413,0.0020263,0.0072426,0.0088995,0.0043634,0.0046259,0.0031791,0.0020351,0.0015398,0.0052175,0.0033339,0.0049175,0.0091467,0.0020574,0.015349,0.0019818,0.0030707,0.0012374,0.0028094,0.0134078,0.0017879,0.0146241,0.0088719,0.0037969,0.0019728,CF
0.0088473,0.0057771,0.0077416,0.0046943,0.00205,0.0070276,0.0090495,0.0045186,0.0046933,0.003045,0.0020879,0.0014746,0.0052015,0.0032851,0.0049724,0.0091419,0.0021126,0.0152648,0.0020274,0.0030686,0.001164,0.0028229,0.0133515,0.0019079,0.0146762,0.008997,0.0037774,0.0021258,CF
0.0075006,0.0049696,0.0063394,0.0038918,0.0018068,0.0061891,0.0077951,0.0038004,0.0039837,0.0026768,0.0017431,0.001344,0.0044797,0.0028391,0.0041375,0.0077119,0.0017457,0.0129001,0.0017103,0.0026834,0.0010319,0.0024475,0.0116734,0.0015462,0.0123092,0.0077054,0.0031917,0.0017531,CF
0.0074358,0.0048667,0.0063353,0.0038965,0.0017782,0.0059985,0.0075603,0.0038813,0.0039047,0.0026169,0.0018019,0.0013391,0.0044156,0.0027902,0.0041455,0.0076522,0.0017088,0.0124122,0.0017727,0.0027305,0.0010207,0.0024849,0.0112271,0.0015815,0.0120358,0.0075224,0.0031654,0.0017224,CF
